workload,table_bits,table_entries,storage_bits,accuracy
bubble_sort,1,2,4,95.45%
recursive_fibonacci,1,2,4,76.92%
matrix_multiplication,1,2,4,41.18%
bubble_sort,2,4,8,95.45%
recursive_fibonacci,2,4,8,40.00%
matrix_multiplication,2,4,8,41.18%
bubble_sort,4,16,32,56.25%
recursive_fibonacci,4,16,32,40.00%
matrix_multiplication,4,16,32,37.50%
bubble_sort,6,64,128,90.91%
recursive_fibonacci,6,64,128,76.92%
matrix_multiplication,6,64,128,64.71%
bubble_sort,8,256,512,90.91%
recursive_fibonacci,8,256,512,76.92%
matrix_multiplication,8,256,512,64.71%
bubble_sort,10,1024,2048,90.91%
recursive_fibonacci,10,10,2048,76.92%
matrix_multiplication,10,1024,2048,64.71%

